NOME DO PRODUTO;REFERENCIA_QUANTIDADE DE FOTOS DESSA REFERENCIA;DETALHES;VALOR;DETALHE 2; 
CATEGORIA;SMALL ACCESSORIES_MALE;DETALHE 1;#N/D;; 
JOHNAS II;X06628P0396-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
JOHNAS II;X06750PR013-T2263_1;WORKEA-RR HERITAGE LEATHER;R$ 295,00;; 
JOHNAS II;X06750PR013-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 295,00;; 
JOHNAS I;X06731P3175-T1003_1;UNI;R$ 495,00;; 
JOHNAS II;X06740P0408-H1532_1;WORKEA-RR COPIRY;R$ 395,00;; 
NEELA XS;X06749PR013-T2263_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
NEELA XS;X06749PR013-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
B-LINE;X03737PR080-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 425,00;; 
B-COPIRY;X06696PR400-T8013_1;WORKEA-RR COPIRY;R$ 325,00;; 
B-LIZZY;X06700PR227-T2184_1;WORKEA-RR LOGO EXECUTION;R$ 255,00;; 
B-LIZZY;X06700PR227-T8013_1;WORKEA-RR LOGO EXECUTION;R$ 255,00;; 
B-PEIPER;X06702PR227-T8013_1;WORKEA-RR LOGO EXECUTION;R$ 275,00;; 
B-TROGO;X06704PR227-T7432_1;WORKEA-RR LOGO EXECUTION;R$ 275,00;; 
B-TROGO;X06704PR227-T8013_1;WORKEA-RR LOGO EXECUTION;R$ 275,00;; 
B-TRED;X06705PR227-T8013_1;WORKEA-RR LOGO EXECUTION;R$ 275,00;; 
B-FORT;X06706PR227-T8013_1;WORKEA-RR LOGO EXECUTION;R$ 295,00;; 
B-ZIGRA;X06712PR505-T6053_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
B-ZIGRA;X06712PR505-T8009_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
B-DERUB;X06714PR080-T8013_1;VISUAL EYES - LOGO EXECUTION;R$ 455,00;; 
B-DACO;X06715PR080-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 395,00;; 
B-STUDEND;X06716P0762-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 955,00;; 
B-GIO II;X06723P0752-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 1.695,00;; 
POUCHUR;X06630P0396-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 795,00;; 
ASANTY BRACELET;X03739PR250-H0470_1;WORKEA-RR HERITAGE LEATHER;R$ 255,00;; 
ALUCY BRACELET 2;X04786PR250-H0470_2;WORKEA-RR HERITAGE LEATHER;R$ 255,00;; 
A-LOTHER;X06679PR227-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 155,00;; 
A-PIASTRY;X06685PS890-H5809_1;WORKEA-RR HERITAGE LEATHER;R$ 295,00;; 
A-GIO II;X06687P0752-T8013_1;WORKEA-RR HERITAGE LEATHER;R$ 495,00;; 
CATEGORIA;INTIMATES_MALE;DETALHE 1;#N/D;; 
CATEGORIA;UNDERWEAR_MALE;DETALHE 1;#N/D;; 
SKM-RAY-TREEPACK;00SAYJ0BAWX-E3843_1;WORKEA-RR ESSENTIAL;R$ 125,00;; 
UMBX-DAMIEN;00CIYK0BAYX-E0010_2;VISUAL EYES SUPER VISION - SEASONAL GRAPHICS;R$ 155,00;; 
UMBX-DAMIEN;00CIYK0BAYX-E5084_2;WORKEA-RR - INSTITUTIONAL LOGO;R$ 155,00;; 
UMBX-DAMIEN;00CIYK0SAWG-8AT_2;WORKEA-RR - INSTITUTIONAL LOGO;R$ 155,00;; 
UMBX-DAMIENTHREEPACK;00ST3V0HAXX-E5086_1;WORKEA-RR - INSTITUTIONAL LOGO;R$ 275,00;; 
UMBX-DAMIENTHREEPACK;00ST3V0HAXX-E5088_1;WORKEA-RR - INSTITUTIONAL LOGO;R$ 275,00;; 
UMBX-DAMIENTHREEPACK;00ST3V0JAWQ-E4024_3;WORKEA-RR - INSTITUTIONAL LOGO;R$ 275,00;; 
UMBX-DAMIENTHREEPACK;00ST3V0JAWQ-E5033_3;WORKEA-RR - INSTITUTIONAL LOGO;R$ 275,00;; 
